Abbeville;111;532;110
Agen;99;433;754
Aix en Provence;51;815;825
Albertville;217;877;600
Albi;105;554;784
Alençon;120;403;290
Alès;168;705;760
Ambérieu en Bugey;218;800;557
Amiens;13;565;132
Angers;65;353;395
Angoulème;97;400;594
Annecy;214;860;560
Argentan;121;396;258
Arles;230;750;813
Arras;6;599;89
Aubenas;165;728;710
Auch;154;428;815
Aurillac;171;572;677
Autun;110;712;454
Auxerre;43;658;361
Avignon;49;764;781
Avranches;66;300;260
Bapaume;117;605;110
Bayonne;160;263;825
Beaune;88;743;450
Beauvais;77;549;185
Belfort;194;903;375
Bergerac;152;423;682
Besançon;196;846;417
Béthune;115;590;65
Béziers;54;639;850
Blois;64;492;387
Bonneville;215;877;587
Bordeaux;59;341;683
Boulogne/Mer;12;517;40
Bourg en Bresse;212;787;532
Bourges;30;573;440
Bourgoin Jallieu;220;797;600
Brest;71;70;278
Briançon;222;903;670
Brienne le Château;184;728;295
Brioude;162;647;635
Brive la Gaillarde;56;505;649
Caen;67;374;209
Cahors;57;497;729
Calais;11;535;15
Cambrai;4;630;100
Cannes;227;940;819
Carcassonne;55;570;865
Châlons/Marne;21;712;235
Châlons/Saône;22;756;472
Chambéry;219;847;600
Charleville-Mézière;174;737;145
Chartres;39;505;293
Château-Salins;179;870;245
Château-Thierry;203;643;225
Châteaubriant;127;293;362
Châteaudun;139;494;332
Châteauroux;94;518;470
Châtillon/Saône;109;732;356
Chaumont;85;773;325
Cherbourg;124;282;155
Chôlet;145;326;437
Civray;150;402;542
Clamecy;108;655;400
Clermont Ferrand;36;625;582
Collonges;213;835;540
Colmar;189;937;322
Compiègne;17;602;186
Cosne;90;612;404
Epinal;191;870;314
Evreux;40;482;228
Dieppe;15;478;130
Dijon;87;770;410
Dinan;131;248;280
Dôle;197;808;435
Domfront;122;350;270
Douarnenez;27;79;310
Doué;144;372;427
Doullens;116;567;105
Dreux;73;496;260
Dunkerque;10;565;7
Feurs;231;737;590
Figeac;91;544;709
Foix;93;510;890
Font-Romeu;26;542;940
Fontainebleau;84;593;297
Fougères;125;309;296
Gap;223;861;708
Genève;210;860;530
Grasse;226;932;806
Grenoble;24;828;640
Guignes;205;600;270
Guingan;134;167;262
Guise;80;660;132
Hesdin;113;546;80
La Cappelle;172;680;125
La Charité;106;620;429
La Flèche;142;389;372
La Roche/Yon;146;284;480
La Rochelle;147;300;535
Langres;198;786;355
Lannemezan;156;411;871
Lannion;135;147;245
Laon;20;660;168
Lausanne;209;893;490
Laval;63;339;329
Le Câteau;79;652;108
Le Havre;118;406;175
Le Luc;228;885;835
Le Mans;41;410;338
Le Puy;163;687;661
Lille;7;617;50
Limoges;96;485;576
Lons le Saunier;211;812;480
Lorient;74;145;353
Loudéac;132;195;310
Lunéville;186;871;269
Lyon;23;761;582
Mâcon;46;756;521
Mantes;33;522;230
Marmande;153;423;682
Marseille;25;805;850
Maubeuge;1;683;89
Mayenne;123;351;303
Mazagran;175;728;187
Mazamet;169;570;836
Meaux;83;608;235
Megève;216;895;562
Mende;167;658;721
Metz;177;845;213
Millau;92;626;765
Mont de Marsan;155;343;786
Montargis;206;596;341
Montauban;58;490;775
Montélimar;166;755;714
Montluçon;101;588;520
Montpellier;53;690;819
Montreuil/Mer;9;515;63
Morlaix;136;119;260
Moulins;102;642;497
Mulhouse;190;938;358
Nancy;44;843;258
Nantes;61;276;420
Narbonne;89;621;866
Neufchâteau;192;813;297
Neufchâtel (Suisse);208;912;440
Neufchatel en Braye;16;503;150
Nevers;107;628;453
Nice;50;958;797
Nimes;52;729;792
Niort;149;355;520
Nogent le Rotrou;119;456;304
Noyon;201;615;165
Orange;48;764;758
Orléans;31;533;350
Orthez;159;310;830
Paray le Monial;207;732;510
Paris;5;567;246
Parthenay;151;373;485
Pau;158;351;851
Périgueux;98;442;647
Péronne;199;610;135
Perpignan;34;615;920
Pleyben;137;100;297
Ploermel;76;219;338
Poitiers;95;415;495
Pontchâteau;128;240;391
Pradelles;164;688;691
Provins;204;638;280
Quillan;170;556;900
Quimper;72;95;322
Reims;8;689;202
Rennes;28;272;323
Roanne;221;697;571
Rodez;104;587;739
Rostrenen;133;153;300
Rouen;14;478;185
Roye;200;600;154
Saintes;148;340;582
Sarrebourg;181;911;250
Sarreguemines;178;910;210
Saumur;143;388;418
Savernes;180;935;249
Selles;141;517;420
Senlis;202;585;210
Sens;86;637;319
Serres;224;835;723
Sézanne;82;667;262
Sisteron;225;853;750
Soissons;18;640;189
Sommesous;183;705;258
St Brieuc;70;198;274
St Etienne;37;725;615
St Dié;187;907;300
St Dizier;81;758;269
St Flour;103;626;664
St Lô;68;320;213
St Martory;161;453;870
St Meen;130;231;310
St Nazaire;138;225;408
St Omer;114;561;39
St Pol/Ternoise;112;567;82
St Quentin;19;636;137
Strasbourg;29;960;265
Suippes;176;726;215
Tarbes;157;387;860
Thiers;232;657;571
Toulon;229;855;869
Toulouse;35;498;820
Tours;32;445;405
Troyes;42;695;308
Valence;47;766;672
Valenciennes;2;650;82
Vannes;75;190;365
Vendôme;140;473;362
Verdun;45;787;210
Versailles;60;553;252
Vervin;173;679;139
Vesoul;195;853;375
Vierzon;78;545;426
Vire;69;335;243
Vitré;126;308;320
Vitry le François;182;730;259
Vittel;193;834;312
